NOC,Year,delegation_size,female_ratio,sport_count,total_medals,gold_medals,silver_medals,bronze_medals,sport_hhi,medal_rate,Season,is_host,wb_country,gdp,population,gdp_per_capita,log_gdp,log_population,log_gdp_per_capita,log_delegation_size,log_total_medals
AUS,1988,19,0.05555555555555555,6,0,0,0,0,0.0,0.0,Winter,0,Australia,236461079970.431,16532164.0,14303.093047615,26.189049464614587,16.620818374719406,9.568231089895182,2.9444389791664403,0.0
AUS,1992,22,0.2682926829268293,9,0,0,0,0,0.0,0.0,Winter,0,Australia,325982966981.415,17478635.0,18650.367547661186,26.51011096842485,16.676489835897687,9.833621132527162,3.091042453358316,0.0
AUS,1994,25,0.2553191489361702,9,1,0,0,1,1.0,0.04,Winter,0,Australia,323269456935.317,17805468.0,18155.628200017938,26.501752044388844,16.695016159100053,9.806735885288793,3.2188758248682006,0.6931471805599453
AUS,1998,23,0.29411764705882354,8,1,0,0,1,1.0,0.043478260869565216,Winter,0,Australia,400361527504.578,18607584.0,21516.040314775848,26.715633794617602,16.73907979751476,9.976553997102842,3.1354942159291497,0.6931471805599453
AUS,2002,25,0.4634146341463415,5,2,2,0,0,0.5,0.08,Winter,0,Australia,396436967262.563,19495210.0,20335.096019102282,26.705782892527708,16.785679352333634,9.92010354019407,3.2188758248682006,1.0986122886681098
AUS,2006,40,0.4,10,2,1,0,1,1.0,0.05,Winter,0,Australia,749708370332.989,20450966.0,36658.824347612186,27.34295012830305,16.833540676501258,10.50940945180179,3.6888794541139363,1.0986122886681098
AUS,2010,40,0.46938775510204084,11,3,2,1,0,0.5555555555555556,0.075,Winter,0,Australia,1152566632022.13,22031750.0,52313.89390412155,27.773012425349563,16.907995152754747,10.865017272594814,3.6888794541139363,1.3862943611198906
AUS,2014,60,0.5119047619047619,11,3,0,2,1,0.5555555555555556,0.05,Winter,0,Australia,1474677007565.64,23475686.0,62817.20617517375,28.019460103819565,16.97147580520884,11.047984298610727,4.0943445622221,1.3862943611198906
AUT,1960,26,0.35714285714285715,5,6,1,2,3,0.7222222222222223,0.23076923076923078,Winter,0,Austria,6624086313.14334,7047539.0,939.9148146811731,22.613978284310317,15.768189035832354,6.845789248477963,3.258096538021482,1.9459101490553132
AUT,1964,83,0.1896551724137931,10,12,4,5,3,0.4166666666666667,0.14457831325301204,Winter,1,Austria,9213648655.97511,7223801.0,1275.457152816794,22.943951771191447,15.792891826634193,7.151059944557254,4.418840607796598,2.5649493574615367
AUT,1968,76,0.16964285714285715,10,11,3,4,4,0.2892561983471074,0.14473684210526316,Winter,0,Austria,12499863917.1003,7415403.0,1685.662116691473,23.24898359456343,15.819069881369275,7.429913713194154,4.330733340286331,2.4849066497880004
AUT,1972,40,0.25,8,5,1,2,2,0.6800000000000002,0.125,Winter,0,Austria,21973207929.0434,7544201.0,2912.5957711152446,23.813089726750523,15.836289746630843,7.976799980119679,3.6888794541139363,1.791759469228055
AUT,1976,77,0.20689655172413793,10,6,2,2,2,0.3888888888888889,0.07792207792207792,Winter,1,Austria,42791707448.0325,7565525.0,5656.145138378698,24.479610169547776,15.839112301342562,8.640497868205216,4.343805421853684,1.9459101490553132
AUT,1980,43,0.24242424242424243,6,7,3,2,2,0.42857142857142855,0.16279069767441862,Winter,0,Austria,81737498404.5948,7549433.0,10826.97182749947,25.12677871031516,15.836983019067363,9.289795691247798,3.7612001156935624,2.0794415416798357
